2026-07-16 05:53:31 | Logging started: ./writer/Subject_independent_AAD/AVEDao/0.1s/result//Train0.1s_sub8.log
2026-07-16 05:55:25 | TestSub: S8 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6932 | Valid Loss 0.6955 | Train Acc 51.0022 | Valid Acc 47.3245
2026-07-16 05:57:03 | TestSub: S8 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6925 | Valid Loss 0.6966 | Train Acc 51.4971 | Valid Acc 47.7122
2026-07-16 05:58:41 | TestSub: S8 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6922 | Valid Loss 0.6964 | Train Acc 51.6296 | Valid Acc 47.7180
2026-07-16 06:00:21 | TestSub: S8 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6919 | Valid Loss 0.6964 | Train Acc 51.9761 | Valid Acc 47.8627
2026-07-16 06:01:59 | TestSub: S8 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6918 | Valid Loss 0.6957 | Train Acc 52.0245 | Valid Acc 48.0768
2026-07-16 06:03:37 | TestSub: S8 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6917 | Valid Loss 0.6964 | Train Acc 52.0594 | Valid Acc 48.0652
2026-07-16 06:05:16 | TestSub: S8 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6915 | Valid Loss 0.6964 | Train Acc 52.2805 | Valid Acc 47.7951
2026-07-16 06:06:54 | TestSub: S8 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6914 | Valid Loss 0.6971 | Train Acc 52.3058 | Valid Acc 47.8183
2026-07-16 06:08:31 | TestSub: S8 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6912 | Valid Loss 0.6968 | Train Acc 52.4824 | Valid Acc 48.0459
2026-07-16 06:10:09 | TestSub: S8 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6911 | Valid Loss 0.6972 | Train Acc 52.4775 | Valid Acc 47.7488
2026-07-16 06:11:47 | TestSub: S8 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6911 | Valid Loss 0.6963 | Train Acc 52.5529 | Valid Acc 48.3796
2026-07-16 06:13:47 | TestSub: S8 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6909 | Valid Loss 0.6972 | Train Acc 52.5585 | Valid Acc 48.0787
2026-07-16 06:15:24 | TestSub: S8 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6909 | Valid Loss 0.6972 | Train Acc 52.5552 | Valid Acc 47.9610
2026-07-16 06:17:03 | TestSub: S8 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6909 | Valid Loss 0.6976 | Train Acc 52.6245 | Valid Acc 48.0671
2026-07-16 06:18:41 | TestSub: S8 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6908 | Valid Loss 0.6961 | Train Acc 52.7759 | Valid Acc 48.3835
2026-07-16 06:20:20 | TestSub: S8 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6908 | Valid Loss 0.6972 | Train Acc 52.6887 | Valid Acc 47.9996
2026-07-16 06:21:58 | TestSub: S8 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6906 | Valid Loss 0.6971 | Train Acc 52.7804 | Valid Acc 47.9977
