2026-07-16 00:24:32 | Logging started: ./writer/Subject_independent_AAD/AVEDao/10.0s/result//Train10.0s_sub8.log
2026-07-16 00:24:45 | TestSub: S8 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.7035 | Valid Loss 0.6965 | Train Acc 51.2740 | Valid Acc 52.9018
2026-07-16 00:24:50 | TestSub: S8 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6926 | Valid Loss 0.6943 | Train Acc 53.6058 | Valid Acc 52.6786
2026-07-16 00:24:54 | TestSub: S8 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6790 | Valid Loss 0.6992 | Train Acc 55.7212 | Valid Acc 45.9821
2026-07-16 00:24:58 | TestSub: S8 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6746 | Valid Loss 0.6913 | Train Acc 57.8846 | Valid Acc 54.2411
2026-07-16 00:25:03 | TestSub: S8 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6658 | Valid Loss 0.6905 | Train Acc 59.3990 | Valid Acc 54.4643
2026-07-16 00:25:10 | TestSub: S8 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6634 | Valid Loss 0.6961 | Train Acc 59.0385 | Valid Acc 52.9018
2026-07-16 00:25:15 | TestSub: S8 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6628 | Valid Loss 0.7008 | Train Acc 59.2308 | Valid Acc 48.4375
2026-07-16 00:25:19 | TestSub: S8 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6573 | Valid Loss 0.6909 | Train Acc 60.0721 | Valid Acc 52.4554
2026-07-16 00:25:23 | TestSub: S8 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6480 | Valid Loss 0.6970 | Train Acc 62.0673 | Valid Acc 51.3393
2026-07-16 00:25:27 | TestSub: S8 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6388 | Valid Loss 0.6908 | Train Acc 63.1250 | Valid Acc 53.3482
2026-07-16 00:25:31 | TestSub: S8 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6424 | Valid Loss 0.6919 | Train Acc 63.1010 | Valid Acc 53.7946
2026-07-16 00:25:36 | TestSub: S8 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6386 | Valid Loss 0.7117 | Train Acc 62.8125 | Valid Acc 44.6429
