2026-07-15 23:56:46 | Logging started: ./writer/Subject_independent_AAD/AVEDao/10.0s/result//Train10.0s_sub1.log
2026-07-15 23:57:06 | TestSub: S1 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.7011 | Valid Loss 0.7002 | Train Acc 50.4808 | Valid Acc 48.2143
2026-07-15 23:57:25 | TestSub: S1 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6920 | Valid Loss 0.7081 | Train Acc 52.8846 | Valid Acc 48.2143
2026-07-15 23:57:30 | TestSub: S1 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6830 | Valid Loss 0.6991 | Train Acc 55.0721 | Valid Acc 47.9911
2026-07-15 23:57:36 | TestSub: S1 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6792 | Valid Loss 0.7136 | Train Acc 55.6490 | Valid Acc 47.9911
2026-07-15 23:57:40 | TestSub: S1 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6700 | Valid Loss 0.7031 | Train Acc 58.0769 | Valid Acc 45.5357
2026-07-15 23:57:48 | TestSub: S1 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6695 | Valid Loss 0.7042 | Train Acc 59.2788 | Valid Acc 46.6518
2026-07-15 23:57:53 | TestSub: S1 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6617 | Valid Loss 0.7130 | Train Acc 60.3125 | Valid Acc 46.6518
2026-07-15 23:57:58 | TestSub: S1 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6558 | Valid Loss 0.7165 | Train Acc 61.7788 | Valid Acc 45.9821
2026-07-15 23:58:03 | TestSub: S1 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6568 | Valid Loss 0.7047 | Train Acc 60.6971 | Valid Acc 44.8661
2026-07-15 23:58:08 | TestSub: S1 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6514 | Valid Loss 0.7113 | Train Acc 62.5000 | Valid Acc 49.1071
2026-07-15 23:58:13 | TestSub: S1 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6430 | Valid Loss 0.7181 | Train Acc 64.2788 | Valid Acc 46.2054
2026-07-15 23:58:18 | TestSub: S1 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6376 | Valid Loss 0.7197 | Train Acc 63.7740 | Valid Acc 45.9821
2026-07-15 23:58:24 | TestSub: S1 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6334 | Valid Loss 0.7317 | Train Acc 63.8702 | Valid Acc 45.7589
2026-07-15 23:58:30 | TestSub: S1 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6312 | Valid Loss 0.7117 | Train Acc 64.1827 | Valid Acc 45.7589
2026-07-15 23:58:35 | TestSub: S1 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6314 | Valid Loss 0.7295 | Train Acc 64.4952 | Valid Acc 47.3214
2026-07-15 23:58:39 | TestSub: S1 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6215 | Valid Loss 0.7195 | Train Acc 65.2163 | Valid Acc 47.7679
2026-07-15 23:58:44 | TestSub: S1 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6141 | Valid Loss 0.7361 | Train Acc 67.4279 | Valid Acc 45.5357
2026-07-15 23:58:49 | TestSub: S1 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6174 | Valid Loss 0.7365 | Train Acc 65.6250 | Valid Acc 47.9911
2026-07-15 23:58:53 | TestSub: S1 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6181 | Valid Loss 0.7211 | Train Acc 66.4663 | Valid Acc 46.4286
2026-07-15 23:58:58 | TestSub: S1 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6072 | Valid Loss 0.7320 | Train Acc 67.7404 | Valid Acc 47.9911
2026-07-15 23:59:02 | TestSub: S1 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6042 | Valid Loss 0.7221 | Train Acc 67.8365 | Valid Acc 46.4286
2026-07-15 23:59:06 | TestSub: S1 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6116 | Valid Loss 0.7417 | Train Acc 65.7212 | Valid Acc 46.8750
2026-07-15 23:59:10 | TestSub: S1 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6068 | Valid Loss 0.7167 | Train Acc 67.5481 | Valid Acc 50.2232
2026-07-15 23:59:15 | TestSub: S1 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5959 | Valid Loss 0.7301 | Train Acc 68.5337 | Valid Acc 47.7679
2026-07-15 23:59:19 | TestSub: S1 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5953 | Valid Loss 0.7484 | Train Acc 68.2212 | Valid Acc 47.0982
2026-07-15 23:59:23 | TestSub: S1 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5942 | Valid Loss 0.7491 | Train Acc 68.5096 | Valid Acc 49.1071
2026-07-15 23:59:27 | TestSub: S1 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5876 | Valid Loss 0.7292 | Train Acc 69.4712 | Valid Acc 48.6607
2026-07-15 23:59:31 | TestSub: S1 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5879 | Valid Loss 0.7432 | Train Acc 68.8462 | Valid Acc 48.8839
2026-07-15 23:59:36 | TestSub: S1 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5852 | Valid Loss 0.7303 | Train Acc 68.0288 | Valid Acc 48.6607
2026-07-15 23:59:40 | TestSub: S1 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5850 | Valid Loss 0.7348 | Train Acc 69.9279 | Valid Acc 48.4375
2026-07-16 00:00:00 | TestSub: S1 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5793 | Valid Loss 0.7587 | Train Acc 70.0481 | Valid Acc 48.8839
