2026-07-15 10:26:41 | Logging started: ./writer/Subject_independent_AAD/DTU/0.1s/result//Train0.1s_sub1.log
2026-07-15 10:29:23 | TestSub: S1 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6735 | Valid Loss 0.7020 | Train Acc 57.4617 | Valid Acc 49.5361
2026-07-15 10:31:22 | TestSub: S1 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6612 | Valid Loss 0.6993 | Train Acc 59.6874 | Valid Acc 49.7712
2026-07-15 10:33:21 | TestSub: S1 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6566 | Valid Loss 0.7065 | Train Acc 60.2249 | Valid Acc 48.9562
2026-07-15 10:35:20 | TestSub: S1 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6545 | Valid Loss 0.7032 | Train Acc 60.4765 | Valid Acc 49.3763
2026-07-15 10:37:19 | TestSub: S1 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6513 | Valid Loss 0.7035 | Train Acc 60.9053 | Valid Acc 48.4077
2026-07-15 10:39:17 | TestSub: S1 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6499 | Valid Loss 0.7012 | Train Acc 60.9455 | Valid Acc 50.8149
2026-07-15 10:41:16 | TestSub: S1 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6487 | Valid Loss 0.6984 | Train Acc 61.1938 | Valid Acc 51.2632
2026-07-15 10:43:15 | TestSub: S1 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6470 | Valid Loss 0.6983 | Train Acc 61.3143 | Valid Acc 51.5985
2026-07-15 10:45:18 | TestSub: S1 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6456 | Valid Loss 0.7032 | Train Acc 61.3834 | Valid Acc 51.1033
2026-07-15 10:47:16 | TestSub: S1 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6443 | Valid Loss 0.7031 | Train Acc 61.6029 | Valid Acc 49.8245
2026-07-15 10:49:15 | TestSub: S1 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6429 | Valid Loss 0.6956 | Train Acc 61.7966 | Valid Acc 51.2914
2026-07-15 10:51:13 | TestSub: S1 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6415 | Valid Loss 0.6959 | Train Acc 61.9007 | Valid Acc 51.2976
2026-07-15 10:53:11 | TestSub: S1 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6403 | Valid Loss 0.6956 | Train Acc 62.1069 | Valid Acc 50.6049
2026-07-15 10:55:10 | TestSub: S1 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6394 | Valid Loss 0.7010 | Train Acc 62.2274 | Valid Acc 50.0658
2026-07-15 10:57:08 | TestSub: S1 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6383 | Valid Loss 0.6997 | Train Acc 62.3714 | Valid Acc 50.7648
2026-07-15 10:59:07 | TestSub: S1 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6372 | Valid Loss 0.6955 | Train Acc 62.4598 | Valid Acc 50.5830
2026-07-15 11:01:05 | TestSub: S1 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6365 | Valid Loss 0.6967 | Train Acc 62.5839 | Valid Acc 50.3354
2026-07-15 11:03:03 | TestSub: S1 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6347 | Valid Loss 0.7002 | Train Acc 62.8052 | Valid Acc 50.1473
2026-07-15 11:05:01 | TestSub: S1 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6340 | Valid Loss 0.6951 | Train Acc 62.9747 | Valid Acc 51.0657
2026-07-15 11:07:00 | TestSub: S1 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6335 | Valid Loss 0.6952 | Train Acc 62.9237 | Valid Acc 51.8242
2026-07-15 11:08:59 | TestSub: S1 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6329 | Valid Loss 0.6970 | Train Acc 63.0208 | Valid Acc 51.5641
2026-07-15 11:10:58 | TestSub: S1 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6316 | Valid Loss 0.6996 | Train Acc 63.2020 | Valid Acc 51.0312
2026-07-15 11:12:57 | TestSub: S1 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6307 | Valid Loss 0.6965 | Train Acc 63.3144 | Valid Acc 51.9026
2026-07-15 11:14:56 | TestSub: S1 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6303 | Valid Loss 0.6935 | Train Acc 63.3798 | Valid Acc 52.2380
2026-07-15 11:16:56 | TestSub: S1 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6293 | Valid Loss 0.7074 | Train Acc 63.4941 | Valid Acc 49.4546
2026-07-15 11:18:55 | TestSub: S1 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6287 | Valid Loss 0.6943 | Train Acc 63.6019 | Valid Acc 50.8463
2026-07-15 11:20:54 | TestSub: S1 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6279 | Valid Loss 0.6985 | Train Acc 63.6874 | Valid Acc 50.7993
2026-07-15 11:22:52 | TestSub: S1 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6278 | Valid Loss 0.6943 | Train Acc 63.7377 | Valid Acc 51.8806
2026-07-15 11:24:51 | TestSub: S1 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6276 | Valid Loss 0.6992 | Train Acc 63.6920 | Valid Acc 50.8306
2026-07-15 11:26:50 | TestSub: S1 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6262 | Valid Loss 0.6964 | Train Acc 63.8370 | Valid Acc 51.1472
2026-07-15 11:28:49 | TestSub: S1 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6258 | Valid Loss 0.6928 | Train Acc 63.9303 | Valid Acc 51.6456
2026-07-15 11:30:48 | TestSub: S1 | Epoch 32/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6248 | Valid Loss 0.6883 | Train Acc 64.0119 | Valid Acc 52.4699
2026-07-15 11:32:46 | TestSub: S1 | Epoch 33/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6244 | Valid Loss 0.6924 | Train Acc 64.1361 | Valid Acc 52.5984
2026-07-15 11:34:44 | TestSub: S1 | Epoch 34/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6243 | Valid Loss 0.6902 | Train Acc 64.1225 | Valid Acc 53.0717
2026-07-15 11:36:43 | TestSub: S1 | Epoch 35/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6237 | Valid Loss 0.6858 | Train Acc 64.1479 | Valid Acc 53.7864
2026-07-15 11:38:41 | TestSub: S1 | Epoch 36/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6236 | Valid Loss 0.6930 | Train Acc 64.2187 | Valid Acc 52.1627
2026-07-15 11:40:40 | TestSub: S1 | Epoch 37/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6232 | Valid Loss 0.6824 | Train Acc 64.1960 | Valid Acc 55.3692
2026-07-15 11:42:38 | TestSub: S1 | Epoch 38/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6229 | Valid Loss 0.6827 | Train Acc 64.2880 | Valid Acc 54.8615
2026-07-15 11:44:37 | TestSub: S1 | Epoch 39/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6223 | Valid Loss 0.6881 | Train Acc 64.2955 | Valid Acc 53.7299
2026-07-15 11:46:35 | TestSub: S1 | Epoch 40/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6219 | Valid Loss 0.6876 | Train Acc 64.3114 | Valid Acc 53.9211
2026-07-15 11:48:35 | TestSub: S1 | Epoch 41/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6217 | Valid Loss 0.6938 | Train Acc 64.4739 | Valid Acc 52.6736
2026-07-15 11:50:33 | TestSub: S1 | Epoch 42/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6216 | Valid Loss 0.6982 | Train Acc 64.4479 | Valid Acc 52.4229
2026-07-15 11:52:32 | TestSub: S1 | Epoch 43/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6211 | Valid Loss 0.6783 | Train Acc 64.5386 | Valid Acc 56.0776
2026-07-15 11:54:31 | TestSub: S1 | Epoch 44/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6209 | Valid Loss 0.6893 | Train Acc 64.4502 | Valid Acc 54.2753
