2026-07-16 20:09:32 | Logging started: ./writer/Subject_independent_AAD/DTU/0.1s/result//Train0.1s_sub5.log
2026-07-16 20:12:15 | TestSub: S5 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6715 | Valid Loss 0.7230 | Train Acc 57.7109 | Valid Acc 44.5775
2026-07-16 20:14:16 | TestSub: S5 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6578 | Valid Loss 0.7160 | Train Acc 59.8394 | Valid Acc 46.0914
2026-07-16 20:16:17 | TestSub: S5 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6525 | Valid Loss 0.7101 | Train Acc 60.4912 | Valid Acc 48.1914
2026-07-16 20:18:27 | TestSub: S5 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6503 | Valid Loss 0.7257 | Train Acc 60.6357 | Valid Acc 45.5523
2026-07-16 20:20:43 | TestSub: S5 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6465 | Valid Loss 0.7205 | Train Acc 61.1127 | Valid Acc 46.4581
2026-07-16 20:22:49 | TestSub: S5 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6456 | Valid Loss 0.7196 | Train Acc 61.2824 | Valid Acc 46.6337
2026-07-16 20:24:52 | TestSub: S5 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6426 | Valid Loss 0.7178 | Train Acc 61.5540 | Valid Acc 46.6587
2026-07-16 20:26:55 | TestSub: S5 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6408 | Valid Loss 0.7143 | Train Acc 61.7645 | Valid Acc 47.7401
2026-07-16 20:28:57 | TestSub: S5 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6384 | Valid Loss 0.7173 | Train Acc 62.0411 | Valid Acc 46.7183
2026-07-16 20:31:02 | TestSub: S5 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6362 | Valid Loss 0.7021 | Train Acc 62.3181 | Valid Acc 50.6990
2026-07-16 20:33:06 | TestSub: S5 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6344 | Valid Loss 0.7133 | Train Acc 62.4563 | Valid Acc 47.3546
2026-07-16 20:35:10 | TestSub: S5 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6330 | Valid Loss 0.7034 | Train Acc 62.5929 | Valid Acc 50.2006
2026-07-16 20:37:13 | TestSub: S5 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6316 | Valid Loss 0.6997 | Train Acc 62.8754 | Valid Acc 50.7648
2026-07-16 20:39:14 | TestSub: S5 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6303 | Valid Loss 0.7011 | Train Acc 62.9677 | Valid Acc 50.5266
2026-07-16 20:41:18 | TestSub: S5 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6290 | Valid Loss 0.6977 | Train Acc 63.0914 | Valid Acc 50.9591
2026-07-16 20:43:19 | TestSub: S5 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6285 | Valid Loss 0.6914 | Train Acc 63.1332 | Valid Acc 52.7019
2026-07-16 20:45:23 | TestSub: S5 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6274 | Valid Loss 0.7019 | Train Acc 63.2963 | Valid Acc 50.8243
