2026-07-16 00:27:01 | Logging started: ./writer/Subject_independent_AAD/AVEDav/10.0s/result//Train10.0s_sub3.log
2026-07-16 00:27:14 | TestSub: S3 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.7001 | Valid Loss 0.6933 | Train Acc 51.0817 | Valid Acc 50.4464
2026-07-16 00:27:18 | TestSub: S3 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6887 | Valid Loss 0.6934 | Train Acc 54.1587 | Valid Acc 49.1071
2026-07-16 00:27:22 | TestSub: S3 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6829 | Valid Loss 0.7027 | Train Acc 56.0337 | Valid Acc 45.9821
2026-07-16 00:27:27 | TestSub: S3 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6794 | Valid Loss 0.6929 | Train Acc 56.5385 | Valid Acc 50.0000
2026-07-16 00:27:31 | TestSub: S3 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6678 | Valid Loss 0.6963 | Train Acc 58.7500 | Valid Acc 47.0982
2026-07-16 00:27:35 | TestSub: S3 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6657 | Valid Loss 0.6946 | Train Acc 59.7837 | Valid Acc 49.3304
2026-07-16 00:27:39 | TestSub: S3 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6557 | Valid Loss 0.6912 | Train Acc 61.5625 | Valid Acc 50.2232
2026-07-16 00:27:43 | TestSub: S3 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6532 | Valid Loss 0.7007 | Train Acc 61.7067 | Valid Acc 49.1071
2026-07-16 00:27:48 | TestSub: S3 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6480 | Valid Loss 0.7182 | Train Acc 62.6442 | Valid Acc 45.7589
2026-07-16 00:27:52 | TestSub: S3 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6466 | Valid Loss 0.6938 | Train Acc 62.1635 | Valid Acc 52.0089
2026-07-16 00:27:56 | TestSub: S3 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6365 | Valid Loss 0.6937 | Train Acc 64.1827 | Valid Acc 52.2321
2026-07-16 00:28:00 | TestSub: S3 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6362 | Valid Loss 0.6970 | Train Acc 63.3413 | Valid Acc 52.9018
2026-07-16 00:28:05 | TestSub: S3 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6299 | Valid Loss 0.6996 | Train Acc 65.6250 | Valid Acc 55.1339
2026-07-16 00:28:09 | TestSub: S3 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6227 | Valid Loss 0.6949 | Train Acc 66.1298 | Valid Acc 54.2411
2026-07-16 00:28:13 | TestSub: S3 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6281 | Valid Loss 0.6915 | Train Acc 64.4231 | Valid Acc 55.8036
2026-07-16 00:28:17 | TestSub: S3 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6074 | Valid Loss 0.6909 | Train Acc 67.6442 | Valid Acc 55.8036
2026-07-16 00:28:21 | TestSub: S3 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6145 | Valid Loss 0.7070 | Train Acc 66.5625 | Valid Acc 52.0089
2026-07-16 00:28:25 | TestSub: S3 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6039 | Valid Loss 0.6968 | Train Acc 67.2356 | Valid Acc 55.3571
2026-07-16 00:28:29 | TestSub: S3 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6068 | Valid Loss 0.6911 | Train Acc 67.0673 | Valid Acc 57.3661
2026-07-16 00:28:34 | TestSub: S3 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5959 | Valid Loss 0.6954 | Train Acc 69.3510 | Valid Acc 54.4643
2026-07-16 00:28:39 | TestSub: S3 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5950 | Valid Loss 0.7098 | Train Acc 67.7163 | Valid Acc 54.2411
2026-07-16 00:28:44 | TestSub: S3 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5921 | Valid Loss 0.7046 | Train Acc 68.7260 | Valid Acc 53.3482
2026-07-16 00:28:48 | TestSub: S3 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5887 | Valid Loss 0.6978 | Train Acc 68.0769 | Valid Acc 57.3661
2026-07-16 00:28:52 | TestSub: S3 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5880 | Valid Loss 0.7023 | Train Acc 68.1490 | Valid Acc 56.9196
2026-07-16 00:28:56 | TestSub: S3 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5823 | Valid Loss 0.7004 | Train Acc 68.8942 | Valid Acc 56.4732
2026-07-16 00:29:00 | TestSub: S3 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5769 | Valid Loss 0.7014 | Train Acc 69.3750 | Valid Acc 57.5893
2026-07-16 00:29:05 | TestSub: S3 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5741 | Valid Loss 0.6977 | Train Acc 69.7356 | Valid Acc 57.5893
2026-07-16 00:29:09 | TestSub: S3 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5788 | Valid Loss 0.7292 | Train Acc 68.8462 | Valid Acc 54.6875
2026-07-16 00:29:14 | TestSub: S3 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5716 | Valid Loss 0.6986 | Train Acc 69.5433 | Valid Acc 56.9196
2026-07-16 00:29:18 | TestSub: S3 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5696 | Valid Loss 0.7093 | Train Acc 70.2404 | Valid Acc 54.9107
2026-07-16 00:29:22 | TestSub: S3 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5609 | Valid Loss 0.7059 | Train Acc 70.6731 | Valid Acc 54.6875
2026-07-16 00:29:26 | TestSub: S3 | Epoch 32/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5669 | Valid Loss 0.7037 | Train Acc 69.8798 | Valid Acc 54.2411
2026-07-16 00:29:30 | TestSub: S3 | Epoch 33/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5634 | Valid Loss 0.6858 | Train Acc 70.0962 | Valid Acc 58.4821
2026-07-16 00:29:35 | TestSub: S3 | Epoch 34/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5582 | Valid Loss 0.7161 | Train Acc 71.6346 | Valid Acc 55.1339
2026-07-16 00:29:39 | TestSub: S3 | Epoch 35/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5586 | Valid Loss 0.6913 | Train Acc 70.4087 | Valid Acc 60.0446
2026-07-16 00:29:43 | TestSub: S3 | Epoch 36/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5543 | Valid Loss 0.7048 | Train Acc 70.3365 | Valid Acc 57.3661
2026-07-16 00:29:47 | TestSub: S3 | Epoch 37/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5577 | Valid Loss 0.6949 | Train Acc 70.2163 | Valid Acc 55.8036
2026-07-16 00:29:52 | TestSub: S3 | Epoch 38/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5606 | Valid Loss 0.6869 | Train Acc 70.6250 | Valid Acc 56.6964
2026-07-16 00:29:56 | TestSub: S3 | Epoch 39/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5523 | Valid Loss 0.6745 | Train Acc 71.2019 | Valid Acc 59.5982
2026-07-16 00:30:00 | TestSub: S3 | Epoch 40/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5384 | Valid Loss 0.6798 | Train Acc 72.3798 | Valid Acc 59.3750
2026-07-16 00:30:04 | TestSub: S3 | Epoch 41/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5479 | Valid Loss 0.6769 | Train Acc 71.4183 | Valid Acc 60.4911
2026-07-16 00:30:08 | TestSub: S3 | Epoch 42/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5462 | Valid Loss 0.6749 | Train Acc 71.5385 | Valid Acc 60.4911
2026-07-16 00:30:12 | TestSub: S3 | Epoch 43/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5582 | Valid Loss 0.6741 | Train Acc 71.1538 | Valid Acc 58.9286
2026-07-16 00:30:16 | TestSub: S3 | Epoch 44/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5358 | Valid Loss 0.6886 | Train Acc 73.5577 | Valid Acc 60.9375
2026-07-16 00:30:21 | TestSub: S3 | Epoch 45/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5382 | Valid Loss 0.6982 | Train Acc 71.7548 | Valid Acc 58.2589
2026-07-16 00:30:25 | TestSub: S3 | Epoch 46/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5463 | Valid Loss 0.6885 | Train Acc 71.3221 | Valid Acc 58.4821
2026-07-16 00:30:29 | TestSub: S3 | Epoch 47/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5324 | Valid Loss 0.6841 | Train Acc 73.3173 | Valid Acc 60.2679
2026-07-16 00:30:34 | TestSub: S3 | Epoch 48/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5418 | Valid Loss 0.6941 | Train Acc 71.0817 | Valid Acc 56.6964
2026-07-16 00:30:38 | TestSub: S3 | Epoch 49/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5376 | Valid Loss 0.6937 | Train Acc 71.8990 | Valid Acc 59.1518
2026-07-16 00:30:42 | TestSub: S3 | Epoch 50/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5374 | Valid Loss 0.6827 | Train Acc 72.5000 | Valid Acc 59.1518
2026-07-16 00:30:46 | TestSub: S3 | Epoch 51/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5420 | Valid Loss 0.7029 | Train Acc 71.9952 | Valid Acc 58.4821
2026-07-16 00:30:50 | TestSub: S3 | Epoch 52/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5373 | Valid Loss 0.6900 | Train Acc 71.6106 | Valid Acc 57.8125
2026-07-16 00:30:54 | TestSub: S3 | Epoch 53/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5365 | Valid Loss 0.6948 | Train Acc 71.4663 | Valid Acc 58.7054
2026-07-16 00:30:59 | TestSub: S3 | Epoch 54/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5261 | Valid Loss 0.6765 | Train Acc 73.2212 | Valid Acc 60.2679
2026-07-16 00:31:04 | TestSub: S3 | Epoch 55/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5339 | Valid Loss 0.6772 | Train Acc 72.5721 | Valid Acc 59.1518
2026-07-16 00:31:08 | TestSub: S3 | Epoch 56/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5294 | Valid Loss 0.6890 | Train Acc 72.7644 | Valid Acc 58.2589
2026-07-16 00:31:12 | TestSub: S3 | Epoch 57/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5158 | Valid Loss 0.6640 | Train Acc 73.7260 | Valid Acc 61.6071
2026-07-16 00:31:16 | TestSub: S3 | Epoch 58/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5337 | Valid Loss 0.7040 | Train Acc 72.6202 | Valid Acc 57.1429
2026-07-16 00:31:20 | TestSub: S3 | Epoch 59/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5320 | Valid Loss 0.6937 | Train Acc 72.4279 | Valid Acc 58.4821
2026-07-16 00:31:25 | TestSub: S3 | Epoch 60/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5316 | Valid Loss 0.6805 | Train Acc 73.2212 | Valid Acc 59.1518
2026-07-16 00:31:29 | TestSub: S3 | Epoch 61/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5284 | Valid Loss 0.7079 | Train Acc 73.0288 | Valid Acc 58.0357
2026-07-16 00:31:33 | TestSub: S3 | Epoch 62/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5221 | Valid Loss 0.6612 | Train Acc 73.4856 | Valid Acc 59.8214
2026-07-16 00:31:37 | TestSub: S3 | Epoch 63/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5197 | Valid Loss 0.6654 | Train Acc 73.3173 | Valid Acc 63.1696
2026-07-16 00:31:41 | TestSub: S3 | Epoch 64/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5306 | Valid Loss 0.7093 | Train Acc 72.6683 | Valid Acc 57.1429
2026-07-16 00:31:45 | TestSub: S3 | Epoch 65/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5328 | Valid Loss 0.6886 | Train Acc 72.5481 | Valid Acc 57.5893
2026-07-16 00:31:49 | TestSub: S3 | Epoch 66/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5240 | Valid Loss 0.6985 | Train Acc 73.2212 | Valid Acc 56.9196
2026-07-16 00:31:53 | TestSub: S3 | Epoch 67/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5127 | Valid Loss 0.6980 | Train Acc 73.9663 | Valid Acc 58.4821
2026-07-16 00:31:57 | TestSub: S3 | Epoch 68/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5249 | Valid Loss 0.6740 | Train Acc 73.6538 | Valid Acc 59.1518
2026-07-16 00:32:02 | TestSub: S3 | Epoch 69/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5328 | Valid Loss 0.6770 | Train Acc 73.4135 | Valid Acc 59.5982
2026-07-16 00:32:06 | TestSub: S3 | Epoch 70/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5238 | Valid Loss 0.6766 | Train Acc 73.7740 | Valid Acc 61.8304
2026-07-16 00:32:10 | TestSub: S3 | Epoch 71/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5206 | Valid Loss 0.6669 | Train Acc 73.2692 | Valid Acc 62.2768
2026-07-16 00:32:14 | TestSub: S3 | Epoch 72/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5260 | Valid Loss 0.6621 | Train Acc 73.5096 | Valid Acc 61.3839
2026-07-16 00:32:18 | TestSub: S3 | Epoch 73/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5090 | Valid Loss 0.6671 | Train Acc 74.3029 | Valid Acc 62.2768
2026-07-16 00:32:22 | TestSub: S3 | Epoch 74/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5220 | Valid Loss 0.6928 | Train Acc 72.9567 | Valid Acc 59.8214
2026-07-16 00:32:26 | TestSub: S3 | Epoch 75/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5115 | Valid Loss 0.7032 | Train Acc 74.2548 | Valid Acc 59.5982
2026-07-16 00:32:30 | TestSub: S3 | Epoch 76/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5206 | Valid Loss 0.6868 | Train Acc 72.9087 | Valid Acc 58.7054
2026-07-16 00:32:34 | TestSub: S3 | Epoch 77/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5123 | Valid Loss 0.6707 | Train Acc 74.3750 | Valid Acc 60.2679
2026-07-16 00:32:39 | TestSub: S3 | Epoch 78/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5148 | Valid Loss 0.6690 | Train Acc 73.9183 | Valid Acc 61.6071
2026-07-16 00:32:43 | TestSub: S3 | Epoch 79/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5181 | Valid Loss 0.6958 | Train Acc 73.1250 | Valid Acc 58.4821
2026-07-16 00:32:47 | TestSub: S3 | Epoch 80/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5060 | Valid Loss 0.7224 | Train Acc 74.3990 | Valid Acc 55.8036
2026-07-16 00:32:51 | TestSub: S3 | Epoch 81/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5226 | Valid Loss 0.6555 | Train Acc 73.5817 | Valid Acc 60.9375
2026-07-16 00:32:55 | TestSub: S3 | Epoch 82/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5209 | Valid Loss 0.6880 | Train Acc 73.7981 | Valid Acc 58.2589
