2026-07-16 14:21:59 | Logging started: ./writer/Subject_independent_AAD/KUL/0.1s/result//Train0.1s_sub5.log
2026-07-16 14:29:03 | TestSub: S5 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5868 | Valid Loss 0.6140 | Train Acc 69.1868 | Valid Acc 63.6786
2026-07-16 14:34:18 | TestSub: S5 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5537 | Valid Loss 0.6041 | Train Acc 71.5124 | Valid Acc 64.2101
2026-07-16 14:39:41 | TestSub: S5 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5385 | Valid Loss 0.6122 | Train Acc 72.6443 | Valid Acc 64.0985
2026-07-16 14:45:07 | TestSub: S5 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5314 | Valid Loss 0.6238 | Train Acc 73.2283 | Valid Acc 63.5336
2026-07-16 14:50:17 | TestSub: S5 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5278 | Valid Loss 0.6198 | Train Acc 73.5083 | Valid Acc 64.0691
2026-07-16 14:55:23 | TestSub: S5 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5244 | Valid Loss 0.6419 | Train Acc 73.7746 | Valid Acc 63.1390
2026-07-16 15:00:52 | TestSub: S5 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5225 | Valid Loss 0.6550 | Train Acc 73.9551 | Valid Acc 63.2394
2026-07-16 15:06:18 | TestSub: S5 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5207 | Valid Loss 0.6415 | Train Acc 74.0381 | Valid Acc 63.7334
2026-07-16 15:11:50 | TestSub: S5 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5193 | Valid Loss 0.6472 | Train Acc 74.1326 | Valid Acc 63.2333
2026-07-16 15:17:07 | TestSub: S5 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5184 | Valid Loss 0.6519 | Train Acc 74.1833 | Valid Acc 63.4240
2026-07-16 15:22:27 | TestSub: S5 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5180 | Valid Loss 0.6459 | Train Acc 74.2710 | Valid Acc 63.7040
2026-07-16 15:27:58 | TestSub: S5 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5173 | Valid Loss 0.6463 | Train Acc 74.3745 | Valid Acc 63.9170
2026-07-16 15:33:25 | TestSub: S5 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5163 | Valid Loss 0.6471 | Train Acc 74.4215 | Valid Acc 63.6238
2026-07-16 15:38:54 | TestSub: S5 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5157 | Valid Loss 0.6406 | Train Acc 74.5162 | Valid Acc 64.0792
2026-07-16 15:44:26 | TestSub: S5 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5149 | Valid Loss 0.6508 | Train Acc 74.5404 | Valid Acc 63.5579
2026-07-16 15:49:58 | TestSub: S5 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5148 | Valid Loss 0.6567 | Train Acc 74.5414 | Valid Acc 63.5670
2026-07-16 15:55:30 | TestSub: S5 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5142 | Valid Loss 0.6442 | Train Acc 74.6308 | Valid Acc 64.2740
2026-07-16 16:00:59 | TestSub: S5 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5138 | Valid Loss 0.6453 | Train Acc 74.6239 | Valid Acc 64.2091
2026-07-16 16:06:05 | TestSub: S5 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5130 | Valid Loss 0.6455 | Train Acc 74.7060 | Valid Acc 64.4251
2026-07-16 16:11:40 | TestSub: S5 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5118 | Valid Loss 0.6531 | Train Acc 74.8035 | Valid Acc 63.8094
2026-07-16 16:17:22 | TestSub: S5 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5116 | Valid Loss 0.6455 | Train Acc 74.7938 | Valid Acc 64.2435
2026-07-16 16:22:53 | TestSub: S5 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5121 | Valid Loss 0.6429 | Train Acc 74.7776 | Valid Acc 64.4545
2026-07-16 16:28:24 | TestSub: S5 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5120 | Valid Loss 0.6498 | Train Acc 74.7789 | Valid Acc 64.1137
2026-07-16 16:33:43 | TestSub: S5 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5110 | Valid Loss 0.6410 | Train Acc 74.8369 | Valid Acc 64.7598
2026-07-16 16:39:05 | TestSub: S5 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5131 | Valid Loss 0.6360 | Train Acc 74.6840 | Valid Acc 64.6675
2026-07-16 16:44:33 | TestSub: S5 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5154 | Valid Loss 0.6497 | Train Acc 74.5485 | Valid Acc 64.1239
2026-07-16 16:49:59 | TestSub: S5 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5137 | Valid Loss 0.6500 | Train Acc 74.6704 | Valid Acc 64.4839
2026-07-16 16:55:21 | TestSub: S5 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5124 | Valid Loss 0.6507 | Train Acc 74.7374 | Valid Acc 64.1036
2026-07-16 17:00:42 | TestSub: S5 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5116 | Valid Loss 0.6456 | Train Acc 74.8200 | Valid Acc 64.5894
2026-07-16 17:06:24 | TestSub: S5 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5112 | Valid Loss 0.6518 | Train Acc 74.8845 | Valid Acc 64.4200
2026-07-16 17:11:47 | TestSub: S5 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5106 | Valid Loss 0.6576 | Train Acc 74.8887 | Valid Acc 64.3115
