2026-07-15 04:56:31 | Logging started: ./writer/Subject_independent_AAD/KUL/2.0s/result//Train2.0s_sub3.log
2026-07-15 04:58:22 | TestSub: S3 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5909 | Valid Loss 0.6937 | Train Acc 68.5082 | Valid Acc 61.5385
2026-07-15 04:58:54 | TestSub: S3 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5288 | Valid Loss 0.7219 | Train Acc 73.5490 | Valid Acc 62.5219
2026-07-15 04:59:25 | TestSub: S3 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5019 | Valid Loss 0.7327 | Train Acc 75.1984 | Valid Acc 59.1565
2026-07-15 04:59:57 | TestSub: S3 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4839 | Valid Loss 0.8064 | Train Acc 76.1382 | Valid Acc 58.6101
2026-07-15 05:00:29 | TestSub: S3 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4698 | Valid Loss 0.7711 | Train Acc 77.0259 | Valid Acc 60.9484
2026-07-15 05:01:01 | TestSub: S3 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4588 | Valid Loss 0.8199 | Train Acc 77.7340 | Valid Acc 61.3855
2026-07-15 05:01:32 | TestSub: S3 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4504 | Valid Loss 0.7944 | Train Acc 78.3668 | Valid Acc 64.4886
2026-07-15 05:02:04 | TestSub: S3 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4454 | Valid Loss 0.8342 | Train Acc 78.5218 | Valid Acc 62.8715
2026-07-15 05:02:36 | TestSub: S3 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4393 | Valid Loss 0.7822 | Train Acc 78.9692 | Valid Acc 63.6145
2026-07-15 05:03:08 | TestSub: S3 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4328 | Valid Loss 0.8214 | Train Acc 79.4254 | Valid Acc 64.1390
2026-07-15 05:03:39 | TestSub: S3 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4295 | Valid Loss 0.7854 | Train Acc 79.5745 | Valid Acc 63.8767
2026-07-15 05:04:11 | TestSub: S3 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4248 | Valid Loss 0.8094 | Train Acc 79.7700 | Valid Acc 62.7841
2026-07-15 05:04:42 | TestSub: S3 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4182 | Valid Loss 0.8468 | Train Acc 80.2696 | Valid Acc 60.1617
2026-07-15 05:05:13 | TestSub: S3 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4148 | Valid Loss 0.8073 | Train Acc 80.5202 | Valid Acc 62.3252
2026-07-15 05:05:45 | TestSub: S3 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4142 | Valid Loss 0.8154 | Train Acc 80.5433 | Valid Acc 64.0079
2026-07-15 05:06:16 | TestSub: S3 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4091 | Valid Loss 0.7545 | Train Acc 80.8894 | Valid Acc 64.4668
2026-07-15 05:06:48 | TestSub: S3 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4081 | Valid Loss 0.8235 | Train Acc 80.9111 | Valid Acc 62.0848
2026-07-15 05:07:21 | TestSub: S3 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4030 | Valid Loss 0.8296 | Train Acc 81.1356 | Valid Acc 63.7456
2026-07-15 05:07:52 | TestSub: S3 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4009 | Valid Loss 0.8157 | Train Acc 81.2978 | Valid Acc 63.6582
2026-07-15 05:08:23 | TestSub: S3 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4024 | Valid Loss 0.8666 | Train Acc 81.2254 | Valid Acc 64.0079
2026-07-15 05:08:54 | TestSub: S3 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3987 | Valid Loss 0.8051 | Train Acc 81.6019 | Valid Acc 62.8497
2026-07-15 05:09:25 | TestSub: S3 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3956 | Valid Loss 0.8367 | Train Acc 81.6757 | Valid Acc 64.7946
2026-07-15 05:09:56 | TestSub: S3 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3945 | Valid Loss 0.8096 | Train Acc 81.5570 | Valid Acc 64.4449
2026-07-15 05:10:27 | TestSub: S3 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3906 | Valid Loss 0.8097 | Train Acc 82.1160 | Valid Acc 63.7456
2026-07-15 05:10:58 | TestSub: S3 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3871 | Valid Loss 0.8212 | Train Acc 82.2130 | Valid Acc 63.9205
2026-07-15 05:11:29 | TestSub: S3 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3877 | Valid Loss 0.8314 | Train Acc 82.0942 | Valid Acc 64.4231
2026-07-15 05:12:00 | TestSub: S3 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3877 | Valid Loss 0.7872 | Train Acc 82.1782 | Valid Acc 63.8986
2026-07-15 05:12:31 | TestSub: S3 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3851 | Valid Loss 0.8059 | Train Acc 82.2854 | Valid Acc 65.0131
2026-07-15 05:13:03 | TestSub: S3 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3841 | Valid Loss 0.7783 | Train Acc 82.2984 | Valid Acc 66.6302
2026-07-15 05:13:34 | TestSub: S3 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3798 | Valid Loss 0.7746 | Train Acc 82.6633 | Valid Acc 64.5760
2026-07-15 05:14:05 | TestSub: S3 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3772 | Valid Loss 0.7755 | Train Acc 82.8502 | Valid Acc 65.0568
2026-07-15 05:14:36 | TestSub: S3 | Epoch 32/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3750 | Valid Loss 0.7632 | Train Acc 83.0225 | Valid Acc 63.6145
2026-07-15 05:15:08 | TestSub: S3 | Epoch 33/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3758 | Valid Loss 0.8505 | Train Acc 82.8950 | Valid Acc 64.0079
2026-07-15 05:15:39 | TestSub: S3 | Epoch 34/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3711 | Valid Loss 0.8222 | Train Acc 83.3382 | Valid Acc 65.9091
2026-07-15 05:16:10 | TestSub: S3 | Epoch 35/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3668 | Valid Loss 0.7807 | Train Acc 83.3280 | Valid Acc 64.5760
2026-07-15 05:16:41 | TestSub: S3 | Epoch 36/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3666 | Valid Loss 0.7916 | Train Acc 83.3946 | Valid Acc 65.8872
2026-07-15 05:17:12 | TestSub: S3 | Epoch 37/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3620 | Valid Loss 0.7693 | Train Acc 83.6263 | Valid Acc 66.8269
2026-07-15 05:17:43 | TestSub: S3 | Epoch 38/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3590 | Valid Loss 0.8041 | Train Acc 83.8363 | Valid Acc 65.8217
2026-07-15 05:18:14 | TestSub: S3 | Epoch 39/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3586 | Valid Loss 0.7769 | Train Acc 83.8913 | Valid Acc 66.2150
2026-07-15 05:18:45 | TestSub: S3 | Epoch 40/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3564 | Valid Loss 0.7339 | Train Acc 83.9884 | Valid Acc 67.6136
2026-07-15 05:19:16 | TestSub: S3 | Epoch 41/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3508 | Valid Loss 0.8026 | Train Acc 84.3055 | Valid Acc 65.1224
2026-07-15 05:19:47 | TestSub: S3 | Epoch 42/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3461 | Valid Loss 0.8271 | Train Acc 84.6574 | Valid Acc 65.9309
2026-07-15 05:20:18 | TestSub: S3 | Epoch 43/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3463 | Valid Loss 0.8568 | Train Acc 84.4706 | Valid Acc 65.0787
2026-07-15 05:20:49 | TestSub: S3 | Epoch 44/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3403 | Valid Loss 0.8049 | Train Acc 84.8949 | Valid Acc 66.5210
2026-07-15 05:21:20 | TestSub: S3 | Epoch 45/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3350 | Valid Loss 0.8306 | Train Acc 85.2786 | Valid Acc 64.8164
2026-07-15 05:21:51 | TestSub: S3 | Epoch 46/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.3282 | Valid Loss 0.7826 | Train Acc 85.6406 | Valid Acc 67.7885
