2026-07-15 23:41:23 | Logging started: ./writer/Subject_independent_AAD/AVEDao/2.0s/result//Train2.0s_sub3.log
2026-07-15 23:41:39 | TestSub: S3 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6956 | Valid Loss 0.6938 | Train Acc 50.6075 | Valid Acc 49.2083
2026-07-15 23:41:45 | TestSub: S3 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6924 | Valid Loss 0.6947 | Train Acc 52.1493 | Valid Acc 49.2500
2026-07-15 23:41:51 | TestSub: S3 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6906 | Valid Loss 0.6966 | Train Acc 52.9133 | Valid Acc 47.7083
2026-07-15 23:41:57 | TestSub: S3 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6887 | Valid Loss 0.6973 | Train Acc 54.2112 | Valid Acc 48.4167
2026-07-15 23:42:03 | TestSub: S3 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6858 | Valid Loss 0.6965 | Train Acc 55.0166 | Valid Acc 49.2083
2026-07-15 23:42:08 | TestSub: S3 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6815 | Valid Loss 0.6973 | Train Acc 56.7194 | Valid Acc 48.1250
2026-07-15 23:42:15 | TestSub: S3 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6778 | Valid Loss 0.7017 | Train Acc 57.4788 | Valid Acc 48.9583
2026-07-15 23:42:21 | TestSub: S3 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6738 | Valid Loss 0.7023 | Train Acc 57.8700 | Valid Acc 48.0417
2026-07-15 23:42:27 | TestSub: S3 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6689 | Valid Loss 0.7039 | Train Acc 59.3428 | Valid Acc 48.3750
2026-07-15 23:42:33 | TestSub: S3 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6677 | Valid Loss 0.7075 | Train Acc 59.3014 | Valid Acc 49.3333
2026-07-15 23:42:39 | TestSub: S3 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6623 | Valid Loss 0.7094 | Train Acc 60.0009 | Valid Acc 49.3750
2026-07-15 23:42:45 | TestSub: S3 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6606 | Valid Loss 0.7071 | Train Acc 60.2679 | Valid Acc 50.1250
