2026-07-15 11:18:34 | Logging started: ./writer/Subject_independent_AAD/AVEDav/3.0s/result//Train3.0s_sub4.log
2026-07-15 11:18:48 | TestSub: S4 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6989 | Valid Loss 0.6956 | Train Acc 50.8194 | Valid Acc 48.1875
2026-07-15 11:18:53 | TestSub: S4 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6908 | Valid Loss 0.6958 | Train Acc 53.0486 | Valid Acc 47.8750
2026-07-15 11:18:58 | TestSub: S4 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6842 | Valid Loss 0.7102 | Train Acc 55.4792 | Valid Acc 45.6250
2026-07-15 11:19:03 | TestSub: S4 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6798 | Valid Loss 0.7062 | Train Acc 57.0417 | Valid Acc 47.3750
2026-07-15 11:19:08 | TestSub: S4 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6752 | Valid Loss 0.7134 | Train Acc 58.3125 | Valid Acc 46.0000
2026-07-15 11:19:13 | TestSub: S4 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6697 | Valid Loss 0.7209 | Train Acc 59.4028 | Valid Acc 47.2500
2026-07-15 11:19:18 | TestSub: S4 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6689 | Valid Loss 0.7182 | Train Acc 58.7222 | Valid Acc 47.2500
2026-07-15 11:19:24 | TestSub: S4 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6650 | Valid Loss 0.7083 | Train Acc 59.7847 | Valid Acc 49.5625
2026-07-15 11:19:29 | TestSub: S4 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6630 | Valid Loss 0.7131 | Train Acc 60.1736 | Valid Acc 48.0625
2026-07-15 11:19:34 | TestSub: S4 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6583 | Valid Loss 0.7133 | Train Acc 61.1042 | Valid Acc 49.3125
2026-07-15 11:19:39 | TestSub: S4 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6550 | Valid Loss 0.7145 | Train Acc 60.8542 | Valid Acc 48.3125
2026-07-15 11:19:44 | TestSub: S4 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6529 | Valid Loss 0.7242 | Train Acc 61.6181 | Valid Acc 46.3750
2026-07-15 11:19:49 | TestSub: S4 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6526 | Valid Loss 0.7183 | Train Acc 61.7222 | Valid Acc 48.3750
2026-07-15 11:19:54 | TestSub: S4 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6462 | Valid Loss 0.7387 | Train Acc 62.7431 | Valid Acc 47.2500
2026-07-15 11:20:00 | TestSub: S4 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6437 | Valid Loss 0.7211 | Train Acc 62.9583 | Valid Acc 48.0000
2026-07-15 11:20:05 | TestSub: S4 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6416 | Valid Loss 0.7251 | Train Acc 62.7847 | Valid Acc 48.3750
2026-07-15 11:20:10 | TestSub: S4 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6403 | Valid Loss 0.7257 | Train Acc 63.4097 | Valid Acc 47.8750
2026-07-15 11:20:15 | TestSub: S4 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6402 | Valid Loss 0.7308 | Train Acc 62.9653 | Valid Acc 47.6250
